match_id,volunteer_id,task_id,skill_match_ratio,willingness_score,availability_hours,distance_km,distance_score,fairness_score,urgency_level,urgency_score,time_compatibility,volunteer_reliability,reliability_score,task_difficulty,ngo_reputation,volunteer_aicte_points,volunteer_aicte_norm,task_points_opportunity,task_points_possible,task_points_norm,match_score,match_success
M00960,V0486,T0043,0.0,0.76,30,22.55,0.549,0.62,5,1.0,1.0,0.77,0.77,2,4.9,57.2,0.057,37.5,37.5,0.188,0.49,0
M00961,V0410,T0254,0.333,0.68,10,34.83,0.303,0.52,5,1.0,1.0,0.71,0.71,4,4.2,421.7,0.422,4.0,4.0,0.02,0.492,0
M00962,V0457,T0214,0.0,0.41,20,4.37,0.913,0.82,1,0.2,1.0,0.58,0.58,5,5.0,473.9,0.474,5.0,5.0,0.025,0.466,0
M00963,V0187,T0130,0.25,0.67,5,16.75,0.665,0.56,2,0.4,0.5,0.6,0.6,2,4.6,475.9,0.476,80.0,80.0,0.4,0.439,0
M00964,V0144,T0267,1.0,0.48,15,8.83,0.823,0.7,1,0.2,0.5,0.72,0.72,4,3.8,3.4,0.003,80.0,80.0,0.4,0.782,0
M00965,V0013,T0251,0.0,0.73,25,7.02,0.86,1.0,4,0.8,1.0,0.61,0.61,1,3.8,35.5,0.035,24.0,24.0,0.12,0.536,0
M00966,V0086,T0027,0.25,0.92,40,15.1,0.698,0.1,1,0.2,1.0,0.66,0.66,4,4.2,25.7,0.026,45.0,45.0,0.225,0.519,0
M00967,V0359,T0157,0.25,0.81,25,8.0,0.84,0.88,1,0.2,1.0,0.87,0.87,3,4.1,297.6,0.298,12.0,12.0,0.06,0.557,0
M00968,V0222,T0173,0.0,0.52,40,9.14,0.817,0.7,5,1.0,1.0,0.9,0.9,2,4.8,315.4,0.315,37.5,37.5,0.188,0.47,0
M00969,V0384,T0235,0.0,0.76,10,10.09,0.798,0.3,4,0.8,0.5,0.91,0.91,4,3.7,139.1,0.139,80.0,80.0,0.4,0.471,0
M00970,V0171,T0283,0.0,0.49,20,26.78,0.464,0.54,3,0.6,1.0,0.65,0.65,5,4.6,53.3,0.053,32.0,32.0,0.16,0.349,0
M00971,V0447,T0006,0.25,0.74,25,12.25,0.755,0.42,3,0.6,1.0,0.85,0.85,4,4.4,231.9,0.232,37.5,37.5,0.188,0.582,0
M00972,V0010,T0155,0.667,0.62,10,18.23,0.635,0.1,4,0.8,1.0,0.8,0.8,3,3.7,461.2,0.461,10.0,10.0,0.05,0.628,1
M00973,V0464,T0241,0.333,0.9,20,33.99,0.32,0.18,4,0.8,1.0,0.59,0.59,2,3.7,333.0,0.333,40.0,40.0,0.2,0.515,0
M00974,V0019,T0139,0.0,0.44,40,23.74,0.525,0.5,1,0.2,1.0,0.62,0.62,3,3.9,59.9,0.06,20.0,20.0,0.1,0.369,0
M00975,V0172,T0188,0.0,0.71,5,22.35,0.553,0.9,2,0.4,1.0,0.8,0.8,5,4.1,177.0,0.177,5.0,5.0,0.025,0.486,0
M00976,V0438,T0218,0.25,0.99,25,38.4,0.232,0.1,5,1.0,1.0,0.73,0.73,3,3.7,493.4,0.493,4.0,4.0,0.02,0.494,0
M00977,V0176,T0068,0.0,0.59,30,19.08,0.618,0.2,4,0.8,1.0,0.62,0.62,4,4.2,245.5,0.245,40.0,40.0,0.2,0.459,0
M00978,V0369,T0134,1.0,0.85,5,29.07,0.419,0.14,5,1.0,1.0,0.62,0.62,4,4.1,176.0,0.176,10.0,10.0,0.05,0.788,0
M00979,V0251,T0145,0.5,0.77,25,29.15,0.417,1.0,2,0.4,1.0,0.92,0.92,1,3.6,255.8,0.256,8.0,8.0,0.04,0.61,0
M00980,V0468,T0231,0.333,0.91,40,14.9,0.702,0.66,1,0.2,1.0,0.55,0.55,1,3.9,342.7,0.343,24.0,24.0,0.12,0.61,0
M00981,V0044,T0164,0.25,0.65,20,29.36,0.413,0.46,2,0.4,1.0,0.91,0.91,4,4.0,480.4,0.48,45.0,45.0,0.225,0.511,0
M00982,V0459,T0059,0.25,0.53,40,16.44,0.671,0.76,1,0.2,1.0,0.72,0.72,4,4.7,11.3,0.011,80.0,80.0,0.4,0.472,0
M00983,V0066,T0055,0.0,0.72,20,16.26,0.675,0.1,2,0.4,1.0,0.98,0.98,4,4.9,72.1,0.072,40.0,40.0,0.2,0.39,0
M00984,V0091,T0192,1.0,0.76,5,5.43,0.891,0.62,1,0.2,1.0,0.88,0.88,3,4.9,472.7,0.473,6.0,6.0,0.03,0.768,1
M00985,V0293,T0122,0.0,0.73,30,31.95,0.361,0.62,2,0.4,1.0,0.9,0.9,5,3.5,338.6,0.339,20.0,20.0,0.1,0.433,0
M00986,V0443,T0039,0.0,0.48,40,22.96,0.541,0.42,3,0.6,1.0,0.61,0.61,1,4.2,209.1,0.209,4.0,4.0,0.02,0.331,0
M00987,V0007,T0175,0.0,0.93,30,34.76,0.305,0.82,1,0.2,1.0,0.78,0.78,1,4.7,132.4,0.132,8.0,8.0,0.04,0.461,0
M00988,V0317,T0037,0.0,0.57,20,27.67,0.447,0.16,5,1.0,1.0,0.76,0.76,3,3.6,197.6,0.198,30.0,30.0,0.15,0.374,0
M00989,V0321,T0236,0.0,0.9,10,2.94,0.941,0.9,1,0.2,1.0,0.67,0.67,4,4.5,199.5,0.2,8.0,8.0,0.04,0.529,0
M00990,V0170,T0055,0.5,0.51,25,6.24,0.875,0.52,2,0.4,1.0,0.9,0.9,4,4.9,42.8,0.043,40.0,40.0,0.2,0.64,1
M00991,V0029,T0072,0.5,0.96,25,9.98,0.8,0.1,4,0.8,1.0,0.6,0.6,3,3.7,470.1,0.47,30.0,30.0,0.15,0.622,1
M00992,V0382,T0042,0.333,0.92,10,22.57,0.549,0.1,5,1.0,0.5,0.87,0.87,4,4.7,25.7,0.026,60.0,60.0,0.3,0.523,0
M00993,V0368,T0047,0.0,0.99,5,14.62,0.708,0.6,5,1.0,0.5,0.54,0.54,2,4.9,242.3,0.242,16.0,16.0,0.08,0.439,0
M00994,V0406,T0120,0.0,0.46,20,19.71,0.606,0.62,3,0.6,1.0,0.55,0.55,3,5.0,477.9,0.478,24.0,24.0,0.12,0.372,0
M00995,V0368,T0041,0.0,0.99,5,16.14,0.677,0.6,4,0.8,1.0,0.54,0.54,1,4.2,242.3,0.242,5.0,5.0,0.025,0.5,0
M00996,V0321,T0272,0.0,0.9,10,24.09,0.518,0.9,3,0.6,1.0,0.67,0.67,4,4.9,199.5,0.2,8.0,8.0,0.04,0.462,0
M00997,V0419,T0102,0.0,0.47,10,16.11,0.678,0.5,1,0.2,1.0,0.97,0.97,1,4.0,238.1,0.238,15.0,15.0,0.075,0.408,0
M00998,V0254,T0096,0.25,0.9,25,18.46,0.631,0.64,4,0.8,1.0,0.63,0.63,3,4.4,48.8,0.049,16.0,16.0,0.08,0.592,0
M00999,V0375,T0032,0.25,0.91,20,10.07,0.799,0.84,1,0.2,1.0,0.7,0.7,1,4.6,81.9,0.082,45.0,45.0,0.225,0.586,0
M01000,V0260,T0004,0.0,0.48,20,10.91,0.782,0.1,4,0.8,1.0,0.96,0.96,1,3.9,94.2,0.094,5.0,5.0,0.025,0.384,0
M01001,V0499,T0102,0.0,0.62,40,42.47,0.151,0.86,1,0.2,1.0,0.72,0.72,1,4.0,267.5,0.268,15.0,15.0,0.075,0.33,0
M01002,V0450,T0278,0.0,0.84,40,24.75,0.505,0.12,3,0.6,1.0,0.61,0.61,3,4.3,104.9,0.105,20.0,20.0,0.1,0.414,0
M01003,V0097,T0064,0.0,0.92,40,27.1,0.458,0.22,5,1.0,1.0,0.79,0.79,1,4.8,297.0,0.297,12.0,12.0,0.06,0.483,0
M01004,V0039,T0097,0.0,0.88,30,15.57,0.689,0.42,1,0.2,1.0,0.77,0.77,3,3.8,459.8,0.46,37.5,37.5,0.188,0.4,0
M01005,V0165,T0117,0.0,0.55,15,14.51,0.71,0.1,4,0.8,1.0,0.7,0.7,1,3.6,198.4,0.198,25.0,25.0,0.125,0.381,0
M01006,V0326,T0152,0.333,0.77,15,4.76,0.905,0.38,3,0.6,1.0,0.88,0.88,5,4.9,212.0,0.212,4.0,4.0,0.02,0.615,0
M01007,V0260,T0147,0.0,0.48,20,29.37,0.413,0.1,2,0.4,1.0,0.96,0.96,5,4.6,94.2,0.094,24.0,24.0,0.12,0.307,0
M01008,V0129,T0177,0.5,0.93,30,30.09,0.398,0.4,1,0.2,1.0,0.55,0.55,1,3.7,142.9,0.143,80.0,80.0,0.4,0.601,0
M01009,V0272,T0004,0.5,0.7,25,4.14,0.917,0.52,4,0.8,1.0,0.73,0.73,1,3.9,201.6,0.202,5.0,5.0,0.025,0.697,1
M01010,V0496,T0129,0.0,0.97,25,11.47,0.771,0.38,5,1.0,1.0,0.56,0.56,1,3.9,442.3,0.442,8.0,8.0,0.04,0.494,0
M01011,V0083,T0034,0.0,0.95,5,30.79,0.384,0.9,3,0.6,1.0,0.56,0.56,5,4.1,161.1,0.161,16.0,16.0,0.08,0.433,0
M01012,V0253,T0177,0.0,0.79,15,3.13,0.937,0.48,1,0.2,0.5,0.79,0.79,1,3.7,202.3,0.202,80.0,80.0,0.4,0.471,0
M01013,V0031,T0221,0.25,0.73,5,18.47,0.631,0.64,3,0.6,1.0,0.8,0.8,5,4.9,105.1,0.105,5.0,5.0,0.025,0.512,0
M01014,V0392,T0229,0.333,0.68,5,19.09,0.618,0.84,4,0.8,0.5,0.95,0.95,3,4.8,240.7,0.241,16.0,16.0,0.08,0.521,0
M01015,V0382,T0046,1.0,0.92,10,8.32,0.834,0.1,4,0.8,0.5,0.87,0.87,4,4.3,25.7,0.026,50.0,50.0,0.25,0.79,0
M01016,V0395,T0186,0.5,0.67,15,18.16,0.637,0.34,2,0.4,1.0,0.89,0.89,2,4.2,151.2,0.151,24.0,24.0,0.12,0.611,1
M01017,V0311,T0034,1.0,0.93,20,30.75,0.385,0.76,3,0.6,1.0,0.5,0.5,5,4.1,2.7,0.003,16.0,16.0,0.08,0.819,0
M01018,V0373,T0164,0.5,0.42,15,27.99,0.44,0.48,2,0.4,1.0,0.87,0.87,4,4.0,480.6,0.481,45.0,45.0,0.225,0.527,0
M01019,V0381,T0246,0.0,0.45,30,30.65,0.387,0.1,4,0.8,1.0,0.97,0.97,1,4.9,395.5,0.396,8.0,8.0,0.04,0.341,0
M01020,V0154,T0251,0.0,0.95,25,2.71,0.946,0.28,4,0.8,1.0,0.66,0.66,1,3.8,299.0,0.299,24.0,24.0,0.12,0.504,0
M01021,V0382,T0098,0.0,0.92,10,24.62,0.508,0.1,5,1.0,1.0,0.87,0.87,3,3.6,25.7,0.026,16.0,16.0,0.08,0.444,0
M01022,V0088,T0022,0.0,0.4,40,14.86,0.703,0.28,2,0.4,1.0,0.87,0.87,1,3.5,328.7,0.329,8.0,8.0,0.04,0.388,0
M01023,V0210,T0239,0.0,0.95,15,21.48,0.57,0.92,2,0.4,1.0,0.84,0.84,1,4.1,285.8,0.286,40.0,40.0,0.2,0.541,0
M01024,V0167,T0207,0.0,0.56,5,34.69,0.306,0.66,5,1.0,0.5,0.52,0.52,3,4.5,449.7,0.45,12.0,12.0,0.06,0.358,0
M01025,V0461,T0238,0.25,0.84,20,25.51,0.49,0.44,5,1.0,1.0,0.99,0.99,4,4.9,144.3,0.144,25.0,25.0,0.125,0.578,0
M01026,V0073,T0198,0.0,0.62,10,15.93,0.681,0.64,5,1.0,1.0,0.6,0.6,1,4.4,163.4,0.163,12.0,12.0,0.06,0.479,0
M01027,V0013,T0072,0.5,0.73,25,10.14,0.797,1.0,4,0.8,1.0,0.61,0.61,3,3.7,35.5,0.035,30.0,30.0,0.15,0.75,1
M01028,V0196,T0077,0.25,0.97,10,5.65,0.887,0.84,4,0.8,1.0,0.94,0.94,5,4.8,441.1,0.441,15.0,15.0,0.075,0.658,0
M01029,V0008,T0223,0.0,0.92,10,25.05,0.499,0.8,5,1.0,1.0,0.53,0.53,1,4.1,396.0,0.396,24.0,24.0,0.12,0.543,0
M01030,V0339,T0089,0.5,0.95,40,15.95,0.681,0.14,5,1.0,1.0,0.77,0.77,1,4.8,135.9,0.136,24.0,24.0,0.12,0.639,1
M01031,V0485,T0095,0.0,0.89,25,25.11,0.498,0.1,2,0.4,1.0,0.55,0.55,1,4.0,445.7,0.446,5.0,5.0,0.025,0.345,0
M01032,V0009,T0201,0.333,0.85,40,18.19,0.636,0.58,4,0.8,1.0,0.73,0.73,4,4.5,55.8,0.056,15.0,15.0,0.075,0.613,0
M01033,V0139,T0173,0.0,0.54,5,23.86,0.523,0.34,5,1.0,0.5,0.55,0.55,2,4.8,112.8,0.113,37.5,37.5,0.188,0.347,0
M01034,V0255,T0201,0.667,0.87,15,17.28,0.654,0.68,4,0.8,1.0,0.56,0.56,4,4.5,292.8,0.293,15.0,15.0,0.075,0.699,1
M01035,V0425,T0282,0.5,0.44,40,29.97,0.401,0.78,1,0.2,1.0,0.96,0.96,3,4.8,220.3,0.22,80.0,80.0,0.4,0.538,0
M01036,V0098,T0250,0.0,0.46,40,15.97,0.681,0.1,5,1.0,1.0,0.52,0.52,3,3.9,42.2,0.042,4.0,4.0,0.02,0.417,0
M01037,V0256,T0222,0.5,0.58,5,8.43,0.831,0.82,5,1.0,0.5,0.7,0.7,2,4.2,68.7,0.069,16.0,16.0,0.08,0.649,0
M01038,V0437,T0082,0.0,0.96,25,14.16,0.717,0.96,2,0.4,1.0,0.81,0.81,3,4.8,298.1,0.298,12.0,12.0,0.06,0.521,0
M01039,V0341,T0031,0.0,0.4,5,6.35,0.873,1.0,3,0.6,0.5,0.66,0.66,3,4.6,246.8,0.247,40.0,40.0,0.2,0.422,0
M01040,V0055,T0035,0.0,0.44,10,47.46,0.051,0.62,5,1.0,1.0,0.96,0.96,3,4.2,297.5,0.297,5.0,5.0,0.025,0.421,0
M01041,V0362,T0245,0.333,0.69,30,32.75,0.345,0.3,5,1.0,1.0,0.75,0.75,3,4.5,199.6,0.2,5.0,5.0,0.025,0.545,0
M01042,V0073,T0121,0.0,0.62,10,2.59,0.948,0.64,3,0.6,0.5,0.6,0.6,1,4.6,163.4,0.163,80.0,80.0,0.4,0.456,0
M01043,V0254,T0111,0.0,0.9,25,51.3,0.0,0.64,3,0.6,1.0,0.63,0.63,4,4.0,48.8,0.049,32.0,32.0,0.16,0.389,0
M01044,V0007,T0158,0.0,0.93,30,17.77,0.645,0.82,1,0.2,1.0,0.78,0.78,5,4.7,132.4,0.132,12.0,12.0,0.06,0.489,0
M01045,V0174,T0160,0.333,0.69,5,18.08,0.638,0.68,1,0.2,0.5,0.75,0.75,5,4.1,472.1,0.472,24.0,24.0,0.12,0.502,0
M01046,V0220,T0063,0.333,0.89,5,27.58,0.448,0.58,1,0.2,0.5,0.53,0.53,4,4.2,61.3,0.061,32.0,32.0,0.16,0.488,0
M01047,V0272,T0145,0.0,0.7,25,29.65,0.407,0.52,2,0.4,1.0,0.73,0.73,1,3.6,201.6,0.202,8.0,8.0,0.04,0.375,0
M01048,V0192,T0066,0.0,0.48,10,27.57,0.449,0.6,3,0.6,0.5,0.84,0.84,3,4.6,414.2,0.414,80.0,80.0,0.4,0.346,0
M01049,V0497,T0243,0.0,0.53,15,15.94,0.681,0.48,1,0.2,1.0,0.75,0.75,3,4.7,127.2,0.127,25.0,25.0,0.125,0.346,0
M01050,V0229,T0190,0.0,0.48,30,23.72,0.526,0.12,1,0.2,1.0,1.0,1.0,3,3.7,474.3,0.474,6.0,6.0,0.03,0.312,0
M01051,V0108,T0168,0.0,0.54,5,46.24,0.075,0.7,4,0.8,0.5,0.73,0.73,2,3.8,209.9,0.21,12.0,12.0,0.06,0.344,0
M01052,V0466,T0161,1.0,0.56,25,1.78,0.964,0.82,1,0.2,1.0,0.57,0.57,3,4.8,159.8,0.16,18.0,18.0,0.09,0.822,1
M01053,V0462,T0244,0.0,0.99,5,31.99,0.36,0.26,4,0.8,0.5,0.7,0.7,3,3.5,378.1,0.378,40.0,40.0,0.2,0.421,0
M01054,V0285,T0175,0.0,0.75,15,23.37,0.533,0.58,1,0.2,1.0,0.52,0.52,1,4.7,233.2,0.233,8.0,8.0,0.04,0.399,0
M01055,V0170,T0100,0.0,0.51,25,13.88,0.722,0.52,3,0.6,1.0,0.9,0.9,2,3.8,42.8,0.043,25.0,25.0,0.125,0.487,0
M01056,V0495,T0165,0.0,0.94,20,38.12,0.238,0.54,3,0.6,1.0,0.7,0.7,4,4.1,335.8,0.336,24.0,24.0,0.12,0.45,0
M01057,V0294,T0118,0.0,0.74,20,25.52,0.49,0.3,4,0.8,1.0,0.87,0.87,2,3.7,473.5,0.473,80.0,80.0,0.4,0.465,0
M01058,V0313,T0122,0.0,0.69,15,20.81,0.584,0.56,2,0.4,1.0,0.57,0.57,5,3.5,387.1,0.387,20.0,20.0,0.1,0.44,0
M01059,V0128,T0251,0.0,1.0,20,8.89,0.822,0.62,4,0.8,1.0,0.7,0.7,1,3.8,248.7,0.249,24.0,24.0,0.12,0.555,0
M01060,V0456,T0010,0.0,0.48,15,19.66,0.607,0.78,2,0.4,1.0,0.83,0.83,3,4.6,102.6,0.103,6.0,6.0,0.03,0.402,0
M01061,V0451,T0049,0.5,0.69,25,9.01,0.82,0.86,5,1.0,1.0,0.91,0.91,3,3.6,235.1,0.235,8.0,8.0,0.04,0.716,1
M01062,V0076,T0165,0.0,0.44,40,12.47,0.751,0.12,3,0.6,1.0,0.57,0.57,4,4.1,151.1,0.151,24.0,24.0,0.12,0.339,0
M01063,V0252,T0237,0.25,0.92,15,23.94,0.521,0.1,4,0.8,1.0,0.59,0.59,3,3.6,476.1,0.476,30.0,30.0,0.15,0.527,0
M01064,V0457,T0137,0.0,0.41,20,26.21,0.476,0.82,1,0.2,1.0,0.58,0.58,5,4.6,473.9,0.474,20.0,20.0,0.1,0.311,0
M01065,V0200,T0099,0.0,0.61,10,5.27,0.895,0.1,1,0.2,1.0,0.84,0.84,2,4.6,75.7,0.076,15.0,15.0,0.075,0.428,0
M01066,V0142,T0074,0.0,0.99,15,13.8,0.724,0.18,5,1.0,1.0,0.97,0.97,3,3.6,271.7,0.272,12.0,12.0,0.06,0.505,0
M01067,V0399,T0031,0.0,0.97,25,3.46,0.931,0.88,3,0.6,1.0,0.66,0.66,3,4.6,103.3,0.103,40.0,40.0,0.2,0.57,0
M01068,V0115,T0002,0.0,0.66,30,20.91,0.582,0.56,4,0.8,1.0,0.96,0.96,4,3.7,223.6,0.224,4.0,4.0,0.02,0.447,0
M01069,V0423,T0248,0.0,0.9,25,5.71,0.886,0.86,2,0.4,1.0,0.93,0.93,2,3.9,354.0,0.354,60.0,60.0,0.3,0.551,0
M01070,V0402,T0140,0.0,0.67,30,5.34,0.893,0.1,5,1.0,1.0,0.97,0.97,5,4.4,383.2,0.383,12.0,12.0,0.06,0.53,0
M01071,V0249,T0161,0.0,0.53,10,24.45,0.511,0.72,1,0.2,1.0,0.7,0.7,3,4.8,338.8,0.339,18.0,18.0,0.09,0.388,0
M01072,V0275,T0103,0.0,0.78,40,16.81,0.664,0.3,4,0.8,1.0,0.52,0.52,2,4.0,261.0,0.261,20.0,20.0,0.1,0.482,0
M01073,V0331,T0097,0.5,0.92,30,18.74,0.625,0.58,1,0.2,1.0,0.7,0.7,3,3.8,210.9,0.211,37.5,37.5,0.188,0.669,1
M01074,V0306,T0062,0.25,0.78,5,8.66,0.827,0.28,1,0.2,0.5,0.96,0.96,5,5.0,73.4,0.073,12.0,12.0,0.06,0.455,0
M01075,V0032,T0100,0.0,0.5,5,45.43,0.091,0.36,3,0.6,0.5,0.55,0.55,2,3.8,331.9,0.332,25.0,25.0,0.125,0.261,0
M01076,V0259,T0145,0.5,0.59,5,21.98,0.56,0.36,2,0.4,1.0,0.91,0.91,1,3.6,294.3,0.294,8.0,8.0,0.04,0.537,0
M01077,V0193,T0217,0.0,0.88,40,1.8,0.964,0.5,1,0.2,1.0,0.97,0.97,1,4.5,257.8,0.258,45.0,45.0,0.225,0.519,0
M01078,V0437,T0006,0.25,0.96,25,33.3,0.334,0.96,3,0.6,1.0,0.81,0.81,4,4.4,298.1,0.298,37.5,37.5,0.188,0.558,0
M01079,V0105,T0074,0.0,0.91,40,13.73,0.725,0.64,5,1.0,1.0,0.72,0.72,3,3.6,41.9,0.042,12.0,12.0,0.06,0.527,0
M01080,V0015,T0216,0.0,0.84,30,5.23,0.895,0.18,1,0.2,1.0,0.67,0.67,3,4.8,49.2,0.049,24.0,24.0,0.12,0.394,0
M01081,V0239,T0076,0.0,0.94,40,33.23,0.335,0.14,1,0.2,1.0,0.97,0.97,3,4.5,491.4,0.491,12.0,12.0,0.06,0.357,0
M01082,V0196,T0285,0.0,0.97,10,23.77,0.525,0.84,5,1.0,1.0,0.94,0.94,3,4.2,441.1,0.441,5.0,5.0,0.025,0.509,0
M01083,V0228,T0161,0.0,0.97,40,5.3,0.894,0.38,1,0.2,1.0,0.98,0.98,3,4.8,324.6,0.325,18.0,18.0,0.09,0.442,0
M01084,V0141,T0234,1.0,1.0,20,32.26,0.355,0.38,4,0.8,1.0,0.94,0.94,2,4.5,93.2,0.093,24.0,24.0,0.12,0.799,0
M01085,V0362,T0233,0.0,0.69,30,13.96,0.721,0.3,1,0.2,1.0,0.75,0.75,2,3.6,199.6,0.2,40.0,40.0,0.2,0.382,0
M01086,V0301,T0066,0.0,0.92,10,23.86,0.523,0.1,3,0.6,0.5,0.61,0.61,3,4.6,241.8,0.242,80.0,80.0,0.4,0.362,0
M01087,V0009,T0064,0.0,0.85,40,11.25,0.775,0.58,5,1.0,1.0,0.73,0.73,1,4.8,55.8,0.056,12.0,12.0,0.06,0.495,0
M01088,V0168,T0283,0.0,0.64,5,29.73,0.405,0.8,3,0.6,0.5,0.92,0.92,5,4.6,282.0,0.282,32.0,32.0,0.16,0.39,0
M01089,V0073,T0162,0.5,0.62,10,22.41,0.552,0.64,2,0.4,1.0,0.6,0.6,3,4.9,163.4,0.163,24.0,24.0,0.12,0.619,1
M01090,V0193,T0282,0.25,0.88,40,24.25,0.515,0.5,1,0.2,1.0,0.97,0.97,3,4.8,257.8,0.258,80.0,80.0,0.4,0.48,0
M01091,V0223,T0166,0.0,0.63,10,30.19,0.396,0.6,2,0.4,1.0,0.91,0.91,5,4.2,298.6,0.299,8.0,8.0,0.04,0.382,0
M01092,V0168,T0018,0.0,0.64,5,24.77,0.505,0.8,4,0.8,0.5,0.92,0.92,5,4.7,282.0,0.282,24.0,24.0,0.12,0.44,0
M01093,V0166,T0290,0.0,0.73,5,2.2,0.956,1.0,3,0.6,1.0,0.92,0.92,3,4.2,351.4,0.351,6.0,6.0,0.03,0.576,0
M01094,V0021,T0262,0.0,0.56,15,7.37,0.853,0.92,2,0.4,1.0,0.58,0.58,5,3.9,439.6,0.44,37.5,37.5,0.188,0.425,0
M01095,V0368,T0068,0.0,0.99,5,23.04,0.539,0.6,4,0.8,0.5,0.54,0.54,4,4.2,242.3,0.242,40.0,40.0,0.2,0.449,0
M01096,V0475,T0035,0.25,0.82,10,35.7,0.286,0.14,5,1.0,1.0,0.68,0.68,3,4.2,478.9,0.479,5.0,5.0,0.025,0.452,0
M01097,V0053,T0268,0.5,0.97,10,15.17,0.697,0.74,5,1.0,0.5,0.62,0.62,1,4.8,132.3,0.132,80.0,80.0,0.4,0.662,0
M01098,V0366,T0121,0.0,0.6,30,12.35,0.753,0.74,3,0.6,1.0,0.63,0.63,1,4.6,101.9,0.102,80.0,80.0,0.4,0.445,0
M01099,V0185,T0183,0.0,0.98,15,17.42,0.652,0.52,1,0.2,1.0,0.67,0.67,4,4.0,305.7,0.306,30.0,30.0,0.15,0.432,0
M01100,V0212,T0176,0.0,1.0,40,27.57,0.449,0.1,1,0.2,1.0,0.62,0.62,4,4.2,450.2,0.45,12.0,12.0,0.06,0.393,0
M01101,V0253,T0206,0.0,0.79,15,34.88,0.302,0.48,4,0.8,1.0,0.79,0.79,2,4.4,202.3,0.202,5.0,5.0,0.025,0.431,0
M01102,V0269,T0214,0.0,0.51,20,20.11,0.598,0.56,1,0.2,1.0,0.94,0.94,5,5.0,305.7,0.306,5.0,5.0,0.025,0.395,0
M01103,V0203,T0080,0.0,0.93,5,7.84,0.843,0.6,2,0.4,1.0,0.78,0.78,3,4.9,66.0,0.066,10.0,10.0,0.05,0.51,0
M01104,V0046,T0107,0.5,0.56,15,17.51,0.65,0.24,2,0.4,1.0,0.51,0.51,1,4.6,350.6,0.351,25.0,25.0,0.125,0.537,0
M01105,V0060,T0134,0.0,0.86,10,24.53,0.509,0.3,5,1.0,1.0,0.94,0.94,4,4.1,65.5,0.066,10.0,10.0,0.05,0.456,0
M01106,V0029,T0286,0.0,0.96,25,1.13,0.977,0.1,3,0.6,1.0,0.6,0.6,5,3.9,470.1,0.47,30.0,30.0,0.15,0.436,0
M01107,V0330,T0116,0.0,0.52,25,25.52,0.49,0.18,4,0.8,1.0,0.64,0.64,1,4.6,269.2,0.269,6.0,6.0,0.03,0.373,0
M01108,V0022,T0113,0.0,0.85,10,33.07,0.339,0.64,1,0.2,0.5,0.6,0.6,1,4.9,302.4,0.302,60.0,60.0,0.3,0.374,0
M01109,V0487,T0079,0.333,0.99,20,38.17,0.237,0.52,5,1.0,1.0,0.74,0.74,4,4.5,161.2,0.161,60.0,60.0,0.3,0.645,0
M01110,V0071,T0257,0.0,0.69,10,18.03,0.639,0.28,1,0.2,1.0,0.85,0.85,2,4.1,179.5,0.179,16.0,16.0,0.08,0.37,0
M01111,V0199,T0203,0.5,0.46,15,28.89,0.422,0.62,3,0.6,0.5,0.88,0.88,4,3.6,68.6,0.069,40.0,40.0,0.2,0.483,0
M01112,V0392,T0149,0.5,0.68,5,26.47,0.471,0.84,2,0.4,1.0,0.95,0.95,3,4.2,240.7,0.241,5.0,5.0,0.025,0.612,0
M01113,V0343,T0213,0.25,1.0,10,9.24,0.815,0.1,4,0.8,1.0,0.99,0.99,2,4.8,385.5,0.386,6.0,6.0,0.03,0.594,0
M01114,V0021,T0103,0.0,0.56,15,21.51,0.57,0.92,4,0.8,1.0,0.58,0.58,2,4.0,439.6,0.44,20.0,20.0,0.1,0.471,0
M01115,V0107,T0118,0.0,0.9,40,14.32,0.714,0.4,4,0.8,1.0,0.54,0.54,2,3.7,224.3,0.224,80.0,80.0,0.4,0.511,0
M01116,V0004,T0179,0.0,0.92,25,36.08,0.278,0.1,1,0.2,1.0,0.89,0.89,2,4.4,34.8,0.035,30.0,30.0,0.15,0.381,0
M01117,V0298,T0189,0.0,0.58,25,15.41,0.692,0.78,5,1.0,1.0,0.64,0.64,4,4.7,322.8,0.323,80.0,80.0,0.4,0.512,0
M01118,V0425,T0085,0.0,0.44,40,8.91,0.822,0.78,5,1.0,1.0,0.96,0.96,4,4.1,220.3,0.22,37.5,37.5,0.188,0.508,0
M01119,V0078,T0275,0.5,0.67,10,27.6,0.448,0.54,3,0.6,1.0,0.77,0.77,3,3.6,49.7,0.05,10.0,10.0,0.05,0.547,0
M01120,V0322,T0145,0.5,0.95,20,23.52,0.53,0.76,2,0.4,1.0,0.63,0.63,1,3.6,117.4,0.117,8.0,8.0,0.04,0.619,1
M01121,V0192,T0262,0.5,0.48,10,20.94,0.581,0.6,2,0.4,0.5,0.84,0.84,5,3.9,414.2,0.414,37.5,37.5,0.188,0.512,0
M01122,V0428,T0104,0.5,0.87,5,11.71,0.766,0.32,2,0.4,1.0,0.84,0.84,1,3.7,467.5,0.468,12.0,12.0,0.06,0.649,1
M01123,V0132,T0172,0.0,0.71,15,14.81,0.704,0.22,4,0.8,1.0,0.81,0.81,2,3.6,159.3,0.159,32.0,32.0,0.16,0.427,0
